,Round Number,Date,Location,Home Team,Away Team,Result,Result Predicted,Away win %,Draw %,Home win %
47,5,16/09/2018 18:15,Molineux Stadium,Wolves,Burnley,1 - 0,H,31.696317164783018,28.63970980570058,39.663973029516406
48,5,16/09/2018 20:45,Goodison Park,Everton,West Ham,1 - 3,H,26.11010998480605,34.460322048735456,39.429567966458485
49,5,18/09/2018 00:45,St. Mary's Stadium,Southampton,Brighton,2 - 2,D,31.112633810868594,39.22213981991254,29.66522636921886
50,6,22/09/2018 17:15,Craven Cottage,Fulham,Watford,1 - 1,H,34.343829435503096,21.893746415997935,43.762424148498965
51,6,22/09/2018 19:45,Turf Moor,Burnley,Bournemouth,4 - 0,H,34.8980986776983,27.765909485770777,37.335991836530916
52,6,22/09/2018 19:45,Cardiff City Stadium,Cardiff,Man City,0 - 5,A,42.32781719023188,20.407597988046223,37.264584821721904
53,6,22/09/2018 19:45,Selhurst Park,Crystal Palace,Newcastle,0 - 0,A,46.48350245755243,14.320160278677358,39.19633726377021
54,6,22/09/2018 19:45,King Power Stadium,Leicester,Huddersfield,3 - 1,D,25.645693646506025,46.742892375830806,27.61141397766319
55,6,22/09/2018 19:45,Anfield,Liverpool,Southampton,3 - 0,D,25.90228618481798,43.08779088654936,31.009922928632662
56,6,22/09/2018 19:45,Old Trafford,Man Utd,Wolves,1 - 1,H,36.2400514222606,23.425329543102364,40.334619034637036
57,6,22/09/2018 22:15,Amex Stadium,Brighton,Spurs,1 - 2,D,27.386631778244702,42.7529221988067,29.8604460229486
58,6,23/09/2018 18:15,London Stadium,West Ham,Chelsea,0 - 0,A,40.58310097946072,27.026757156348598,32.390141864190696
59,6,23/09/2018 20:45,Emirates Stadium,Arsenal,Everton,2 - 0,D,23.621903481440945,44.76531389697997,31.612782621579083
60,7,29/09/2018 17:15,London Stadium,West Ham,Man Utd,3 - 1,A,42.338080053101216,27.607717983688524,30.054201963210247
61,7,29/09/2018 19:45,Emirates Stadium,Arsenal,Watford,2 - 0,H,29.698992442865553,22.811637180997884,47.48937037613657
62,7,29/09/2018 19:45,Goodison Park,Everton,Fulham,3 - 0,D,21.85266884577689,41.855165397128445,36.29216575709467
63,7,29/09/2018 19:45,John Smith's Stadium,Huddersfield,Spurs,0 - 2,A,38.643210262699625,26.89406435013806,34.462725387162315
64,7,29/09/2018 19:45,Etihad Stadium,Man City,Brighton,2 - 0,H,33.65250053257644,25.5783931039544,40.76910636346916
65,7,29/09/2018 19:45,St. James' Park,Newcastle,Leicester,0 - 2,A,39.59931021010677,21.720004529026262,38.68068526086695
66,7,29/09/2018 19:45,Molineux Stadium,Wolves,Southampton,2 - 0,H,30.50101225467531,32.33899782181327,37.15998992351142
67,7,29/09/2018 22:15,Stamford Bridge,Chelsea,Liverpool,1 - 1,D,29.450589102080137,39.55160844504971,30.997802452870154
68,7,30/09/2018 20:45,Cardiff City Stadium,Cardiff,Burnley,1 - 2,H,37.54641767061073,21.968782865872555,40.484799463516715
69,7,02/10/2018 00:45,Vitality Stadium,Bournemouth,Crystal Palace,2 - 1,H,35.65320640737013,26.28522952995419,38.06156406267567
70,8,06/10/2018 00:45,Amex Stadium,Brighton,West Ham,1 - 0,D,22.673325024994526,44.9889448260505,32.337730148954975
71,8,06/10/2018 19:45,Turf Moor,Burnley,Huddersfield,1 - 1,H,32.625645781826776,33.43765831339417,33.93669590477906
72,8,06/10/2018 19:45,Selhurst Park,Crystal Palace,Wolves,0 - 1,A,46.695986881126196,20.12804276068426,33.17597035818955
73,8,06/10/2018 19:45,King Power Stadium,Leicester,Everton,1 - 2,D,24.289306919639,48.35518148823207,27.355511592128938
74,8,06/10/2018 19:45,Wembley Stadium,Spurs,Cardiff,1 - 0,H,42.54289309654868,13.602181221372833,43.85492568207848
75,8,06/10/2018 19:45,Vicarage Road,Watford,Bournemouth,0 - 4,D,30.836863008301975,37.26111397529592,31.902023016402108
76,8,06/10/2018 22:15,Old Trafford,Man Utd,Newcastle,3 - 2,H,36.33839080522058,16.8632062642073,46.79840293057212
77,8,07/10/2018 16:45,Craven Cottage,Fulham,Arsenal,1 - 5,A,34.760310042665424,33.89201072188404,31.34767923545054
78,8,07/10/2018 19:00,St. Mary's Stadium,Southampton,Chelsea,0 - 3,D,34.49537716897561,38.24531111681361,27.25931171421077
79,8,07/10/2018 21:15,Anfield,Liverpool,Man City,0 - 0,D,31.244095067363887,37.67736469521827,31.07854023741784
80,9,20/10/2018 17:15,Stamford Bridge,Chelsea,Man Utd,2 - 2,D,34.339306981594866,36.282016860593764,29.378676157811384
81,9,20/10/2018 19:45,Vitality Stadium,Bournemouth,Southampton,0 - 0,D,26.1002524886089,41.15146137399613,32.74828613739497
82,9,20/10/2018 19:45,Cardiff City Stadium,Cardiff,Fulham,4 - 2,H,32.992991417014046,29.84550958337296,37.161498999613
83,9,20/10/2018 19:45,Etihad Stadium,Man City,Burnley,5 - 0,H,32.2883261726814,24.941955256293337,42.76971857102526
84,9,20/10/2018 19:45,St. James' Park,Newcastle,Brighton,0 - 1,H,35.78968476896878,27.923325658349736,36.286989572681485
85,9,20/10/2018 19:45,London Stadium,West Ham,Spurs,0 - 1,A,41.29377556685778,26.24010176244882,32.466122670693395
86,9,20/10/2018 19:45,Molineux Stadium,Wolves,Watford,0 - 2,H,33.95311500552031,19.794096168267973,46.25278882621173
87,9,20/10/2018 22:15,John Smith's Stadium,Huddersfield,Liverpool,0 - 1,A,34.51670929807836,31.41706470453165,34.06622599738999
88,9,21/10/2018 20:45,Goodison Park,Everton,Crystal Palace,2 - 0,H,33.72390196633168,22.92753911957378,43.34855891409454
89,9,23/10/2018 00:45,Emirates Stadium,Arsenal,Leicester,3 - 1,H,32.368936375818116,26.227525416531407,41.403538207650485
90,10,27/10/2018 19:45,Amex Stadium,Brighton,Wolves,1 - 0,D,27.341303316200584,43.711176685327736,28.947519998471694
91,10,27/10/2018 19:45,Craven Cottage,Fulham,Bournemouth,0 - 3,D,31.67359744676894,35.31674780928044,33.00965474395062
92,10,27/10/2018 19:45,Anfield,Liverpool,Cardiff,4 - 1,H,36.89740679206499,25.035282095969368,38.06731111196564
93,10,27/10/2018 19:45,St. Mary's Stadium,Southampton,Newcastle,0 - 0,A,37.14282238774332,29.428410540545947,33.42876707171072
94,10,27/10/2018 19:45,Vicarage Road,Watford,Huddersfield,3 - 0,D,28.221850055057136,43.47895792715596,28.2991920177869
95,10,27/10/2018 22:15,King Power Stadium,Leicester,West Ham,1 - 1,D,28.531553789354998,37.1455839543275,34.32286225631751
96,10,28/10/2018 19:15,Turf Moor,Burnley,Chelsea,0 - 4,A,39.91652942132774,23.36690739771663,36.71656318095564
97,10,28/10/2018 19:15,Selhurst Park,Crystal Palace,Arsenal,2 - 2,A,44.027477683672664,22.924319157570274,33.04820315875706
98,10,28/10/2018 21:45,Old Trafford,Man Utd,Everton,2 - 1,H,27.153604764607113,35.20706628177456,37.63932895361834
99,10,30/10/2018 01:45,Wembley Stadium,Spurs,Man City,0 - 1,A,38.67980850110803,22.731031066733195,38.589160432158785
100,11,03/11/2018 18:15,Vitality Stadium,Bournemouth,Man Utd,1 - 2,D,33.41798248229274,37.828524240094204,28.753493277613053
101,11,03/11/2018 20:45,Cardiff City Stadium,Cardiff,Leicester,0 - 1,A,42.58801985529136,17.05994140260364,40.352038742105
102,11,03/11/2018 20:45,Goodison Park,Everton,Brighton,3 - 1,H,27.179198515640152,34.02566185392559,38.79513963043425
103,11,03/11/2018 20:45,St. James' Park,Newcastle,Watford,1 - 0,H,36.723553067407636,18.78180615091534,44.49464078167703
104,11,03/11/2018 20:45,London Stadium,West Ham,Burnley,4 - 2,H,35.384493056659736,27.35726641571805,37.25824052762223
105,11,03/11/2018 23:15,Emirates Stadium,Arsenal,Liverpool,1 - 1,D,28.843033846701477,35.95924897640782,35.197717176890706
106,11,04/11/2018 01:30,Molineux Stadium,Wolves,Spurs,2 - 3,A,37.51218153072209,27.653578516335536,34.83423995294238
107,11,04/11/2018 20:45,Etihad Stadium,Man City,Southampton,6 - 1,H,31.23828442000326,28.264755426477382,40.49696015351936
108,11,04/11/2018 21:45,Stamford Bridge,Chelsea,Crystal Palace,3 - 1,H,36.4299621181612,24.904658244028134,38.66537963781066
109,11,06/11/2018 01:45,John Smith's Stadium,Huddersfield,Fulham,1 - 0,D,28.00090349914537,36.67615942413128,35.32293707672335
110,12,10/11/2018 18:15,Cardiff City Stadium,Cardiff,Brighton,2 - 1,A,39.12168787502626,22.481108701899366,38.39720342307437
111,12,10/11/2018 20:45,John Smith's Stadium,Huddersfield,West Ham,1 - 1,H,32.91099787431005,29.117567923846522,37.97143420184344
112,12,10/11/2018 20:45,King Power Stadium,Leicester,Burnley,0 - 0,H,28.55180610830953,35.719776028334024,35.728417863356455
113,12,10/11/2018 20:45,St. James' Park,Newcastle,Bournemouth,2 - 1,A,34.36245200559352,31.5803328300336,34.05721516437288
114,12,10/11/2018 20:45,St. Mary's Stadium,Southampton,Watford,1 - 1,H,33.18847673938623,28.53540476135829,38.27611849925548
115,12,10/11/2018 23:15,Selhurst Park,Crystal Palace,Spurs,0 - 1,A,46.306113606425725,19.660216500183463,34.033669893390815
116,12,11/11/2018 17:45,Anfield,Liverpool,Fulham,2 - 0,D,22.654554839381035,47.95578718321235,29.389657977406614
117,12,11/11/2018 20:00,Stamford Bridge,Chelsea,Everton,0 - 0,D,24.06546768488961,48.16686318901213,27.767669126098244
118,12,11/11/2018 22:15,Emirates Stadium,Arsenal,Wolves,1 - 1,H,32.949478763826164,32.042178861137735,35.008342375036094
119,12,11/11/2018 22:15,Etihad Stadium,Man City,Man Utd,3 - 1,A,39.169635934976306,25.411405701816957,35.41895836320675
120,13,24/11/2018 20:45,Amex Stadium,Brighton,Leicester,1 - 1,D,27.40258388117656,37.477976819524606,35.11943929929883
121,13,24/11/2018 20:45,Goodison Park,Everton,Cardiff,1 - 0,H,34.51831260594551,20.292455514814588,45.1892318792399
122,13,24/11/2018 20:45,Craven Cottage,Fulham,Southampton,3 - 2,H,30.563107877554618,34.60057077820334,34.83632134424204
123,13,24/11/2018 20:45,Old Trafford,Man Utd,Crystal Palace,0 - 0,H,37.57822109371357,15.345705446257297,47.07607346002913
124,13,24/11/2018 20:45,Vicarage Road,Watford,Liverpool,0 - 3,D,32.42637058919637,36.478634548208284,31.09499486259535
125,13,24/11/2018 20:45,London Stadium,West Ham,Man City,0 - 4,A,40.0498025283228,25.727029534880558,34.223167936796635
126,13,24/11/2018 23:15,Tottenham Hotspur Stadium,Spurs,Chelsea,3 - 1,A,39.29775869666418,23.973380096364643,36.72886120697118
127,13,25/11/2018 19:15,Vitality Stadium,Bournemouth,Arsenal,1 - 2,D,29.991660930736064,40.47551234467218,29.532826724591754
128,13,25/11/2018 21:45,Molineux Stadium,Wolves,Huddersfield,0 - 2,D,29.140136803752192,39.413921265247254,31.445941931000547
129,13,27/11/2018 02:15,Turf Moor,Burnley,Newcastle,1 - 2,H,41.00433048686497,16.732109497421224,42.263560015713814
130,14,01/12/2018 01:45,Cardiff City Stadium,Cardiff,Wolves,2 - 1,A,43.97097179775775,21.48912287199107,34.53990533025118
131,14,01/12/2018 20:45,Selhurst Park,Crystal Palace,Burnley,2 - 0,A,40.224930397962275,20.682446712125685,39.092622889912036
132,14,01/12/2018 20:45,John Smith's Stadium,Huddersfield,Brighton,1 - 2,H,34.13880808016722,28.635225021290278,37.2259668985425
133,14,01/12/2018 20:45,King Power Stadium,Leicester,Watford,2 - 0,H,31.260626725524894,26.103585952576676,42.63578732189843
134,14,01/12/2018 20:45,Etihad Stadium,Man City,Bournemouth,3 - 1,H,32.45400835652086,29.173612307319967,38.37237933615917
135,14,01/12/2018 20:45,St. James' Park,Newcastle,West Ham,0 - 3,H,34.563810663245356,28.408021050392517,37.02816828636213
136,14,01/12/2018 23:15,St. Mary's Stadium,Southampton,Man Utd,2 - 2,D,36.07961427710007,38.70570129529195,25.214684427607974
137,14,02/12/2018 17:45,Stamford Bridge,Chelsea,Fulham,2 - 0,D,23.600529553916882,44.55773823799715,31.841732208085954
138,14,02/12/2018 19:50,Emirates Stadium,Arsenal,Spurs,4 - 2,H,32.837451817767146,31.264844468081115,35.89770371415174
139,14,02/12/2018 22:00,Anfield,Liverpool,Everton,1 - 0,D,23.06046836145557,51.42934993209103,25.510181706453395
140,15,05/12/2018 01:30,Vitality Stadium,Bournemouth,Huddersfield,2 - 1,D,24.618558593187988,48.03629136289318,27.345150043918842
141,15,05/12/2018 01:30,Amex Stadium,Brighton,Crystal Palace,3 - 1,H,30.470266758215008,32.49518182726378,37.034551414521204
142,15,05/12/2018 01:30,London Stadium,West Ham,Cardiff,3 - 1,A,44.61837270676132,15.601359121767015,39.780268171471675
143,15,05/12/2018 01:45,Vicarage Road,Watford,Man City,1 - 2,A,35.27518746987673,31.30448796846394,33.420324561659335
144,15,06/12/2018 01:30,Turf Moor,Burnley,Liverpool,1 - 3,A,36.72102114890547,26.7295598581512,36.54941899294332
145,15,06/12/2018 01:30,Craven Cottage,Fulham,Leicester,1 - 1,H,36.99067565439521,25.07369144681084,37.93563289879395
